e,E,s,k
kline,1703897032287,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030155, 'o': '313.980', 'c': '313.990', 'h': '314.160', 'l': '313.930', 'v': '686.87', 'n': 471, 'x': False, 'q': '215705.65450', 'V': '210.40', 'Q': '66078.21780', 'B': '0'}"
kline,1703897032381,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098226, 'o': '42181.40', 'c': '42175.60', 'h': '42181.40', 'l': '42171.70', 'v': '25.900', 'n': 430, 'x': False, 'q': '1092373.62100', 'V': '7.143', 'Q': '301258.16400', 'B': '0'}"
kline,1703897032617,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030162, 'o': '313.980', 'c': '313.980', 'h': '314.160', 'l': '313.930', 'v': '690.01', 'n': 478, 'x': False, 'q': '216691.58080', 'V': '210.40', 'Q': '66078.21780', 'B': '0'}"
kline,1703897032678,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189525, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '320.929', 'n': 443, 'x': False, 'q': '739548.04654', 'V': '165.185', 'Q': '380639.44609', 'B': '0'}"
kline,1703897033023,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098238, 'o': '42181.40', 'c': '42175.60', 'h': '42181.40', 'l': '42171.70', 'v': '27.156', 'n': 442, 'x': False, 'q': '1145346.17500', 'V': '7.147', 'Q': '301426.86680', 'B': '0'}"
kline,1703897033255,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030170, 'o': '313.980', 'c': '313.940', 'h': '314.160', 'l': '313.930', 'v': '691.43', 'n': 486, 'x': False, 'q': '217137.40150', 'V': '211.31', 'Q': '66363.91230', 'B': '0'}"
kline,1703897033265,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189527, 'o': '2304.80', 'c': '2304.28', 'h': '2304.80', 'l': '2304.23', 'v': '321.405', 'n': 445, 'x': False, 'q': '740644.87948', 'V': '165.227', 'Q': '380736.22585', 'B': '0'}"
kline,1703897033662,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189528, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '321.436', 'n': 446, 'x': False, 'q': '740716.31185', 'V': '165.227', 'Q': '380736.22585', 'B': '0'}"
kline,1703897034055,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189529, 'o': '2304.80', 'c': '2304.28', 'h': '2304.80', 'l': '2304.23', 'v': '321.446', 'n': 447, 'x': False, 'q': '740739.35465', 'V': '165.237', 'Q': '380759.26865', 'B': '0'}"
kline,1703897034059,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030172, 'o': '313.980', 'c': '313.900', 'h': '314.160', 'l': '313.900', 'v': '691.62', 'n': 488, 'x': False, 'q': '217197.04890', 'V': '211.31', 'Q': '66363.91230', 'B': '0'}"
kline,1703897034311,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030184, 'o': '313.980', 'c': '313.890', 'h': '314.160', 'l': '313.890', 'v': '705.79', 'n': 500, 'x': False, 'q': '221645.00810', 'V': '211.69', 'Q': '66483.19050', 'B': '0'}"
kline,1703897034383,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189531, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '321.496', 'n': 449, 'x': False, 'q': '740854.56815', 'V': '165.237', 'Q': '380759.26865', 'B': '0'}"
kline,1703897035055,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189532, 'o': '2304.80', 'c': '2304.28', 'h': '2304.80', 'l': '2304.23', 'v': '321.520', 'n': 450, 'x': False, 'q': '740909.87087', 'V': '165.261', 'Q': '380814.57137', 'B': '0'}"
kline,1703897035194,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098239, 'o': '42181.40', 'c': '42175.70', 'h': '42181.40', 'l': '42171.70', 'v': '27.187', 'n': 443, 'x': False, 'q': '1146653.62170', 'V': '7.178', 'Q': '302734.31350', 'B': '0'}"
kline,1703897035377,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189533, 'o': '2304.80', 'c': '2304.28', 'h': '2304.80', 'l': '2304.23', 'v': '321.642', 'n': 451, 'x': False, 'q': '741190.99303', 'V': '165.383', 'Q': '381095.69353', 'B': '0'}"
kline,1703897035546,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098242, 'o': '42181.40', 'c': '42175.60', 'h': '42181.40', 'l': '42171.70', 'v': '27.213', 'n': 446, 'x': False, 'q': '1147750.18730', 'V': '7.178', 'Q': '302734.31350', 'B': '0'}"
kline,1703897035596,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030192, 'o': '313.980', 'c': '313.900', 'h': '314.160', 'l': '313.890', 'v': '719.41', 'n': 508, 'x': False, 'q': '225920.20280', 'V': '225.31', 'Q': '70758.38520', 'B': '0'}"
kline,1703897035725,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189534, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '321.673', 'n': 452, 'x': False, 'q': '741262.42540', 'V': '165.383', 'Q': '381095.69353', 'B': '0'}"
kline,1703897035806,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098244, 'o': '42181.40', 'c': '42175.60', 'h': '42181.40', 'l': '42171.70', 'v': '27.294', 'n': 448, 'x': False, 'q': '1151166.41090', 'V': '7.178', 'Q': '302734.31350', 'B': '0'}"
kline,1703897036135,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098248, 'o': '42181.40', 'c': '42175.70', 'h': '42181.40', 'l': '42171.70', 'v': '27.627', 'n': 452, 'x': False, 'q': '1165210.91340', 'V': '7.455', 'Q': '314416.98240', 'B': '0'}"
kline,1703897036340,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189537, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '321.729', 'n': 455, 'x': False, 'q': '741391.46462', 'V': '165.393', 'Q': '381118.73633', 'B': '0'}"
kline,1703897036570,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098251, 'o': '42181.40', 'c': '42175.60', 'h': '42181.40', 'l': '42171.70', 'v': '27.730', 'n': 455, 'x': False, 'q': '1169555.00020', 'V': '7.455', 'Q': '314416.98240', 'B': '0'}"
kline,1703897036669,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189538, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '325.759', 'n': 456, 'x': False, 'q': '750677.67272', 'V': '165.393', 'Q': '381118.73633', 'B': '0'}"
kline,1703897036838,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030193, 'o': '313.980', 'c': '313.890', 'h': '314.160', 'l': '313.890', 'v': '719.55', 'n': 509, 'x': False, 'q': '225964.14740', 'V': '225.31', 'Q': '70758.38520', 'B': '0'}"
kline,1703897037021,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098257, 'o': '42181.40', 'c': '42175.60', 'h': '42181.40', 'l': '42171.70', 'v': '28.390', 'n': 461, 'x': False, 'q': '1197390.89620', 'V': '7.455', 'Q': '314416.98240', 'B': '0'}"
kline,1703897037122,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189544, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '331.750', 'n': 462, 'x': False, 'q': '764482.55429', 'V': '165.393', 'Q': '381118.73633', 'B': '0'}"
kline,1703897037276,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098271, 'o': '42181.40', 'c': '42172.80', 'h': '42181.40', 'l': '42171.70', 'v': '29.162', 'n': 475, 'x': False, 'q': '1229949.03900', 'V': '7.455', 'Q': '314416.98240', 'B': '0'}"
kline,1703897037684,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189548, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '332.463', 'n': 466, 'x': False, 'q': '766125.49880', 'V': '165.393', 'Q': '381118.73633', 'B': '0'}"
kline,1703897037924,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098273, 'o': '42181.40', 'c': '42172.90', 'h': '42181.40', 'l': '42171.70', 'v': '30.077', 'n': 477, 'x': False, 'q': '1268537.24220', 'V': '8.367', 'Q': '352878.66720', 'B': '0'}"
kline,1703897038208,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098275, 'o': '42181.40', 'c': '42172.90', 'h': '42181.40', 'l': '42171.70', 'v': '30.369', 'n': 479, 'x': False, 'q': '1280851.72900', 'V': '8.659', 'Q': '365193.15400', 'B': '0'}"
kline,1703897038309,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189550, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '332.600', 'n': 468, 'x': False, 'q': '766441.18379', 'V': '165.393', 'Q': '381118.73633', 'B': '0'}"
kline,1703897038678,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189552, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '332.951', 'n': 470, 'x': False, 'q': '767249.98256', 'V': '165.393', 'Q': '381118.73633', 'B': '0'}"
kline,1703897038905,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098278, 'o': '42181.40', 'c': '42172.80', 'h': '42181.40', 'l': '42171.70', 'v': '30.494', 'n': 482, 'x': False, 'q': '1286123.32900', 'V': '8.659', 'Q': '365193.15400', 'B': '0'}"
kline,1703897039653,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189556, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '337.830', 'n': 474, 'x': False, 'q': '778492.51589', 'V': '165.393', 'Q': '381118.73633', 'B': '0'}"
kline,1703897040024,ETHUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189083, 'L': 3475189557, 'o': '2304.80', 'c': '2304.27', 'h': '2304.80', 'l': '2304.23', 'v': '337.853', 'n': 475, 'x': True, 'q': '778545.51410', 'V': '165.393', 'Q': '381118.73633', 'B': '0'}"
kline,1703897040176,BTCUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423097797, 'L': 4423098278, 'o': '42181.40', 'c': '42172.80', 'h': '42181.40', 'l': '42171.70', 'v': '30.494', 'n': 482, 'x': True, 'q': '1286123.32900', 'V': '8.659', 'Q': '365193.15400', 'B': '0'}"
kline,1703897040369,ETHUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189558, 'L': 3475189562, 'o': '2304.27', 'c': '2304.27', 'h': '2304.27', 'l': '2304.27', 'v': '0.093', 'n': 5, 'x': False, 'q': '214.29711', 'V': '0', 'Q': '0', 'B': '0'}"
kline,1703897040629,ETHUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189558, 'L': 3475189564, 'o': '2304.27', 'c': '2304.27', 'h': '2304.28', 'l': '2304.27', 'v': '1.387', 'n': 7, 'x': False, 'q': '3196.02849', 'V': '0.600', 'Q': '1382.56800', 'B': '0'}"
kline,1703897040682,BTCUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423098279, 'L': 4423098280, 'o': '42172.80', 'c': '42172.80', 'h': '42172.80', 'l': '42172.80', 'v': '0.008', 'n': 2, 'x': False, 'q': '337.38240', 'V': '0', 'Q': '0', 'B': '0'}"
kline,1703897040862,BNBUSDT,"{'t': 1703896980000, 'T': 1703897039999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124029685, 'L': 1124030193, 'o': '313.980', 'c': '313.890', 'h': '314.160', 'l': '313.890', 'v': '719.55', 'n': 509, 'x': True, 'q': '225964.14740', 'V': '225.31', 'Q': '70758.38520', 'B': '0'}"
kline,1703897040962,BTCUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423098279, 'L': 4423098283, 'o': '42172.80', 'c': '42172.80', 'h': '42172.90', 'l': '42172.80', 'v': '0.049', 'n': 5, 'x': False, 'q': '2066.46830', 'V': '0.011', 'Q': '463.90190', 'B': '0'}"
kline,1703897041173,ETHUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189558, 'L': 3475189567, 'o': '2304.27', 'c': '2304.27', 'h': '2304.28', 'l': '2304.27', 'v': '2.053', 'n': 10, 'x': False, 'q': '4730.67231', 'V': '0.650', 'Q': '1497.78150', 'B': '0'}"
kline,1703897041225,BTCUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423098279, 'L': 4423098333, 'o': '42172.80', 'c': '42166.80', 'h': '42172.90', 'l': '42166.80', 'v': '3.242', 'n': 55, 'x': False, 'q': '136721.15320', 'V': '0.011', 'Q': '463.90190', 'B': '0'}"
kline,1703897041424,ETHUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189558, 'L': 3475189570, 'o': '2304.27', 'c': '2304.26', 'h': '2304.28', 'l': '2304.26', 'v': '7.707', 'n': 13, 'x': False, 'q': '17759.01480', 'V': '6.295', 'Q': '14505.38565', 'B': '0'}"
kline,1703897041477,BTCUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423098279, 'L': 4423098339, 'o': '42172.80', 'c': '42166.50', 'h': '42172.90', 'l': '42166.50', 'v': '3.276', 'n': 61, 'x': False, 'q': '138154.82080', 'V': '0.015', 'Q': '632.56790', 'B': '0'}"
kline,1703897041709,ETHUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189558, 'L': 3475189578, 'o': '2304.27', 'c': '2304.16', 'h': '2304.28', 'l': '2304.16', 'v': '8.626', 'n': 21, 'x': False, 'q': '19876.55651', 'V': '6.295', 'Q': '14505.38565', 'B': '0'}"
kline,1703897042012,BTCUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423098279, 'L': 4423098356, 'o': '42172.80', 'c': '42166.30', 'h': '42172.90', 'l': '42166.30', 'v': '3.561', 'n': 78, 'x': False, 'q': '150172.23720', 'V': '0.088', 'Q': '3710.71510', 'B': '0'}"
kline,1703897042157,ETHUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189558, 'L': 3475189582, 'o': '2304.27', 'c': '2304.16', 'h': '2304.28', 'l': '2304.16', 'v': '10.609', 'n': 25, 'x': False, 'q': '24445.70579', 'V': '6.299', 'Q': '14514.60229', 'B': '0'}"
kline,1703897042432,BTCUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423098279, 'L': 4423098384, 'o': '42172.80', 'c': '42164.70', 'h': '42172.90', 'l': '42164.60', 'v': '5.962', 'n': 106, 'x': False, 'q': '251413.61470', 'V': '2.189', 'Q': '92302.28240', 'B': '0'}"
kline,1703897042662,BNBUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124030194, 'L': 1124030212, 'o': '313.900', 'c': '313.850', 'h': '313.900', 'l': '313.850', 'v': '8.32', 'n': 19, 'x': False, 'q': '2611.54160', 'V': '1.27', 'Q': '398.65300', 'B': '0'}"
kline,1703897042673,ETHUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189558, 'L': 3475189584, 'o': '2304.27', 'c': '2304.15', 'h': '2304.28', 'l': '2304.15', 'v': '10.737', 'n': 27, 'x': False, 'q': '24740.63699', 'V': '6.299', 'Q': '14514.60229', 'B': '0'}"
kline,1703897042687,BTCUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423098279, 'L': 4423098385, 'o': '42172.80', 'c': '42164.60', 'h': '42172.90', 'l': '42164.60', 'v': '6.179', 'n': 107, 'x': False, 'q': '260563.33290', 'V': '2.189', 'Q': '92302.28240', 'B': '0'}"
kline,1703897042946,ETHUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189558, 'L': 3475189881, 'o': '2304.27', 'c': '2303.65', 'h': '2304.28', 'l': '2303.65', 'v': '1032.401', 'n': 324, 'x': False, 'q': '2378637.05638', 'V': '6.299', 'Q': '14514.60229', 'B': '0'}"
kline,1703897042942,BTCUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423098279, 'L': 4423098433, 'o': '42172.80', 'c': '42160.00', 'h': '42172.90', 'l': '42160.00', 'v': '8.140', 'n': 155, 'x': False, 'q': '343244.24600', 'V': '2.189', 'Q': '92302.28240', 'B': '0'}"
kline,1703897043183,BNBUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'BNBUSDT', 'i': '1m', 'f': 1124030194, 'L': 1124030222, 'o': '313.900', 'c': '313.800', 'h': '313.900', 'l': '313.800', 'v': '22.39', 'n': 29, 'x': False, 'q': '7027.22790', 'V': '1.27', 'Q': '398.65300', 'B': '0'}"
kline,1703897043473,BTCUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423098279, 'L': 4423098451, 'o': '42172.80', 'c': '42159.30', 'h': '42172.90', 'l': '42159.30', 'v': '8.300', 'n': 173, 'x': False, 'q': '349989.80850', 'V': '2.204', 'Q': '92934.67340', 'B': '0'}"
kline,1703897043504,ETHUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189558, 'L': 3475189978, 'o': '2304.27', 'c': '2303.17', 'h': '2304.28', 'l': '2303.16', 'v': '1065.304', 'n': 421, 'x': False, 'q': '2454428.65175', 'V': '6.474', 'Q': '14917.65704', 'B': '0'}"
kline,1703897043741,BTCUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423098279, 'L': 4423098453, 'o': '42172.80', 'c': '42159.40', 'h': '42172.90', 'l': '42159.30', 'v': '8.323', 'n': 175, 'x': False, 'q': '350959.47470', 'V': '2.227', 'Q': '93904.33960', 'B': '0'}"
kline,1703897043759,ETHUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189558, 'L': 3475189983, 'o': '2304.27', 'c': '2303.16', 'h': '2304.28', 'l': '2303.16', 'v': '1072.153', 'n': 426, 'x': False, 'q': '2470202.99459', 'V': '6.474', 'Q': '14917.65704', 'B': '0'}"
kline,1703897044025,ETHUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189558, 'L': 3475189993, 'o': '2304.27', 'c': '2303.15', 'h': '2304.28', 'l': '2303.15', 'v': '1080.512', 'n': 436, 'x': False, 'q': '2489455.11276', 'V': '7.125', 'Q': '16417.02071', 'B': '0'}"
kline,1703897044156,BTCUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'BTCUSDT', 'i': '1m', 'f': 4423098279, 'L': 4423098456, 'o': '42172.80', 'c': '42159.30', 'h': '42172.90', 'l': '42159.30', 'v': '8.463', 'n': 178, 'x': False, 'q': '356861.77670', 'V': '2.227', 'Q': '93904.33960', 'B': '0'}"
kline,1703897044367,ETHUSDT,"{'t': 1703897040000, 'T': 1703897099999, 's': 'ETHUSDT', 'i': '1m', 'f': 3475189558, 'L': 3475190020, 'o': '2304.27', 'c': '2303.03', 'h': '2304.28', 'l': '2303.03', 'v': '1119.208', 'n': 463, 'x': False, 'q': '2578575.66568', 'V': '7.125', 'Q': '16417.02071', 'B': '0'}"
